,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
74,75,0.85619354,0.9567013,0.8202407,0.8292336,0.7303588,0.9191063,0.89214176,0.7034081
75,76,0.85619354,0.9567013,0.8292242,0.8022736,0.7303588,0.9101181,0.9011299,0.7034081
76,77,0.85619354,0.9566417,0.8202407,0.8382218,0.7213706,0.9101181,0.9011299,0.7034081
77,78,0.85619354,0.9564629,0.84720063,0.8202453,0.73934233,0.9101181,0.9011299,0.7034081
78,79,0.85619354,0.95658207,0.8112477,0.82024544,0.73934233,0.9101181,0.9011299,0.7034081
79,80,0.85619354,0.9475344,0.82023597,0.8112618,0.739347,0.9101181,0.9011299,0.7034081
80,81,0.85619354,0.94765353,0.82922894,0.8112571,0.739347,0.9101181,0.89214176,0.7034081
81,82,0.85619354,0.94765353,0.8202407,0.8202453,0.7303588,0.9101181,0.9011299,0.7034081
82,83,0.85619354,0.94777274,0.8292242,0.8202454,0.73934233,0.9101181,0.89214176,0.7034081
83,84,0.85619354,0.9475986,0.83821714,0.7932808,0.7303588,0.9101181,0.89214176,0.7034081
84,85,0.85619354,0.94765353,0.8202407,0.84720534,0.7303588,0.9101181,0.89214176,0.7034081
85,86,0.85619354,0.94765353,0.8292242,0.8292336,0.73934233,0.9101181,0.88315356,0.7034081
86,87,0.85619354,0.9478919,0.8472053,0.8112665,0.7303588,0.9101181,0.88315356,0.7034081
87,88,0.85619354,0.94765353,0.83821243,0.86517704,0.7303588,0.9101181,0.89214176,0.7034081
88,89,0.85619354,0.94765353,0.82024074,0.8112478,0.73934233,0.9101181,0.88315356,0.7034081
89,90,0.85619354,0.9478277,0.83821243,0.8292336,0.73934233,0.9101181,0.89214176,0.7034081
90,91,0.85619354,0.9477085,0.8292242,0.7932761,0.73934233,0.9101181,0.9011299,0.7034081
91,92,0.85619354,0.9478277,0.8112525,0.8292335,0.7303588,0.9101181,0.9011299,0.7034081
92,93,0.85619354,0.9477681,0.82024074,0.8202407,0.73934233,0.9101181,0.88315356,0.7034081
93,94,0.85619354,0.9477681,0.84720063,0.7663209,0.7303588,0.9101181,0.88315356,0.7034081
94,95,0.85619354,0.9478874,0.82024074,0.8022737,0.7303588,0.9101181,0.89214176,0.7034081
95,96,0.85619354,0.9477681,0.82024074,0.83822644,0.7213705,0.9101181,0.89214176,0.7034081
96,97,0.85619354,0.9478874,0.83821243,0.8382218,0.7303588,0.9101181,0.88315356,0.7034081
97,98,0.85619354,0.9477683,0.8202407,0.82923824,0.7303588,0.9101181,0.88315356,0.7034081
98,99,0.85619354,0.9477683,0.8382171,0.7932808,0.7393469,0.9101181,0.87416536,0.7034081
