,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
73,74,0.8390056,0.8980392,0.8644258,0.72885156,0.79663855,0.54243696,0.88984597,0.8220588,0.78109246
74,75,0.8390056,0.8977591,0.8644258,0.7457983,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
75,76,0.8390056,0.89761907,0.8644258,0.72037816,0.7796918,0.53396356,0.88984597,0.8220588,0.78109246
76,77,0.8390056,0.89747906,0.8644258,0.72885156,0.7796918,0.54243696,0.88984597,0.8220588,0.78109246
77,78,0.8390056,0.8960784,0.8644258,0.7373249,0.76274514,0.53396356,0.88984597,0.8220588,0.78109246
78,79,0.8390056,0.8957984,0.8644258,0.7288515,0.7712184,0.54243696,0.88984597,0.8220588,0.78109246
79,80,0.8390056,0.89439774,0.8644258,0.7373249,0.7712184,0.54243696,0.88984597,0.8220588,0.78109246
80,81,0.8390056,0.8942577,0.8559524,0.7542717,0.7796918,0.54243696,0.88984597,0.8220588,0.78109246
81,82,0.8390056,0.8928572,0.8559524,0.7457983,0.7881652,0.53396356,0.88984597,0.8220588,0.78109246
82,83,0.8390056,0.8928572,0.8559524,0.7288515,0.7712185,0.53396356,0.88984597,0.8220588,0.78109246
83,84,0.8390056,0.8928572,0.8559524,0.7457983,0.7712185,0.54243696,0.88984597,0.8220588,0.78109246
84,85,0.8390056,0.8928572,0.8559524,0.7288515,0.7796918,0.54243696,0.88984597,0.8305322,0.78109246
85,86,0.8390056,0.8928572,0.8559524,0.7373249,0.7881652,0.52549016,0.88984597,0.8305322,0.78109246
86,87,0.8390056,0.8928572,0.8644258,0.7373249,0.7627451,0.54243696,0.88984597,0.8305322,0.78109246
87,88,0.8390056,0.8928572,0.8644258,0.7542716,0.7796918,0.54243696,0.88984597,0.8305322,0.78109246
88,89,0.8390056,0.8928572,0.8644258,0.73732495,0.7627451,0.54243696,0.88984597,0.8305322,0.78109246
89,90,0.8390056,0.8928572,0.8644258,0.72885156,0.7966386,0.54243696,0.88984597,0.8305322,0.78109246
90,91,0.8390056,0.8928572,0.8644258,0.7542716,0.74579835,0.53396356,0.88984597,0.8305322,0.78109246
91,92,0.8390056,0.8928572,0.8644258,0.7457983,0.7542717,0.54243696,0.88984597,0.8305322,0.78109246
92,93,0.8390056,0.8928572,0.8644258,0.7457983,0.76274514,0.54243696,0.88984597,0.8305322,0.78109246
93,94,0.8390056,0.8928572,0.8559524,0.7542717,0.7796918,0.53396356,0.88984597,0.8305322,0.78109246
94,95,0.8390056,0.892577,0.8559524,0.7373249,0.7712185,0.55091035,0.88984597,0.8305322,0.78109246
95,96,0.8390056,0.8910364,0.8559524,0.7288515,0.7627451,0.54243696,0.88984597,0.8305322,0.78109246
96,97,0.8390056,0.89866954,0.8559524,0.7542717,0.75427175,0.54243696,0.88984597,0.8305322,0.78109246
97,98,0.8390056,0.89838934,0.8559524,0.7373249,0.7712184,0.55091035,0.88984597,0.8305322,0.78109246
98,99,0.8390056,0.9063026,0.8559524,0.72885156,0.7712185,0.54243696,0.88984597,0.8305322,0.78109246
